Participant,Code,SA,WC
R_PMqzIXTqKlpt6Qp,Learning,0,0
R_1o5B9GuTVrGn8X0,Learning,0,0
R_12yk1lYPYKfsywD,Learning,0,0
R_2pJk3td4kLYMPWU,Learning,0,0
R_3oR5WXhOVFGambM,Learning,0,0
R_33rwyRLGKQ7flOx,Learning,0,0
R_vqLKv9rUfyDpkVb,Learning,0,0
R_1GBoQ8taai5gwcy,Learning,0,0
R_1jv3NZEEtp7A5yA,Learning,0,0
R_22rhKJycRuuhvB5,Learning,0,0
R_3nAe9KKpRPTwh7T,Learning,0,0
R_2BzzIj3d6U0rlXd,Learning,0,0
R_3OoZ9bgEzEFIZlA,Learning,0,0
R_1dgLfQ1lqYOHuLJ,Learning,0,0
R_3GcBiqM2JygR7DL,Learning,0,0
R_6sSTnyKYxBYyEql,Learning,0,0
R_3p4Edm8tUtqKlcR,Learning,0,0
R_1eEQ3PXaYhXFYSk,Learning,0,0
R_1O0oF1McGSQ1GI9,Learning,0,0
R_1dzcoYSaTzJeHjw,Learning,0,0
R_2EfMxa2oqijovk1,Learning,0,0
R_3RmxFLKLkSfv5Ql,Learning,0,0
R_2dYEFFOpwfEUmiP,Learning,0,0
R_2ea3NWN4nQRTUMN,Learning,0,0
R_T1OvvjbGcYOAoCZ,Learning,0,0
R_2DNDnG3xkN5sL9G,Learning,0,0
R_3JFFbniTzAwfovD,Learning,0,0
R_12xPJwUbo1oXuuf,Learning,0,0
R_2pXkuncJQYULGSV,Learning,0,0
R_usMFAWMS1ho5e6J,Learning,0,0
R_2SJHQkUwbXJDHqt,Learning,0,0
R_1f2xUGvDSCTH7Xl,Learning,0,0
R_1dhm6CIp2rlidiB,Learning,0,0
R_2EsHZU4GPQl6Eto,Learning,0,0
R_2106bPwwFwRqlNI,Learning,0,0
R_ZdZuuMf4wDF6fU5,Learning,0,0
R_25TOPT401jmAcqT,Learning,0,0
R_2ALpAD7fadUcAsJ,Learning,0,0
R_1cU01U7HBwkZR34,Learning,0,0
