Respondent ID,Code ,SA,MM
6297133740,AbsenceHarm,0,0
6297149301,AbsenceHarm,0,0
6297168324,AbsenceHarm,0,0
6297168356,AbsenceHarm,0,0
6297172890,AbsenceHarm,0,0
6297178887,AbsenceHarm,0,0
6297191499,AbsenceHarm,0,0
6297193330,AbsenceHarm,0,0
6297200889,AbsenceHarm,0,0
6297202939,AbsenceHarm,0,0
6297203327,AbsenceHarm,0,0
6297206449,AbsenceHarm,0,0
6297208170,AbsenceHarm,0,0
6297223938,AbsenceHarm,0,0
6297226301,AbsenceHarm,0,0
6297264173,AbsenceHarm,0,0
6297280044,AbsenceHarm,0,0
6297282497,AbsenceHarm,0,0
6297288246,AbsenceHarm,0,0
6297291179,AbsenceHarm,0,0
6297309391,AbsenceHarm,0,0
6297366208,AbsenceHarm,0,0
6297373891,AbsenceHarm,0,0
6297378709,AbsenceHarm,0,0
6297402697,AbsenceHarm,0,0
6297426406,AbsenceHarm,0,0
6297475563,AbsenceHarm,0,0
6297479353,AbsenceHarm,0,0
6297510865,AbsenceHarm,0,0
6297520072,AbsenceHarm,0,0
6297529791,AbsenceHarm,0,0
6297531420,AbsenceHarm,0,0
6297538182,AbsenceHarm,0,0
6297588793,AbsenceHarm,0,0
6297624448,AbsenceHarm,0,0
6297648678,AbsenceHarm,0,0
6297689071,AbsenceHarm,0,0
6297084394,AbsenceHarm,0,0
6297084863,AbsenceHarm,0,0
6297085084,AbsenceHarm,0,0
6297085330,AbsenceHarm,0,0
6297087991,AbsenceHarm,1,1
6297090204,AbsenceHarm,0,0
6297090562,AbsenceHarm,0,0
6297092200,AbsenceHarm,0,0
6297092347,AbsenceHarm,0,0
6297092458,AbsenceHarm,0,0
6297093379,AbsenceHarm,0,0
6297093949,AbsenceHarm,0,0
6297094742,AbsenceHarm,0,0
6297095408,AbsenceHarm,0,0
6297095921,AbsenceHarm,0,0
6297096535,AbsenceHarm,0,0
6297102036,AbsenceHarm,0,0
6297102182,AbsenceHarm,0,0
6297104605,AbsenceHarm,0,0
6297106096,AbsenceHarm,0,0
6297106102,AbsenceHarm,0,0
6297106542,AbsenceHarm,0,0
